F1,Date,YearCounter,Date Entered/Updated,Launch Time (UTC),Missile Name,Missile Type,Launch Agency/Authority,Facility Name,Facility Location,Other Name,Facility Latitude,Facility Longitude,Landing Location,Landing Latitude,Landing Longitude,Apogee,Distance Travelled,Confirmation Status,Test Outcome,Additional Information,Source(s)
83,30-May-16,10,28-Nov-17,8:30:00 PM,Musudan,IRBM,,Wonsan Kalma International Airport,"Kangwon Province, (North Korea)",Wonsan Airbase,39.1677,127.4817,N/A,39.298174,128.004531,Unknown,Unknown,Confirmed,Failure,,http://defense-update.com/20160531_musudan-2.html; https://www.stratcom.mil/news/2016/617/USSTRATCOM_Detects_Attempted_North_Korean_Missile_Launch/
84,21-Jun-16,11,28-Nov-17,8:56:00 PM,Musudan,IRBM,,Wonsan Kalma International Airport,"Kangwon Province, (North Korea)",Wonsan Airbase,39.1677,127.4817,Sea of Japan or East Sea,39.162011,128.847656,Unknown,Unknown,Confirmed,Failure,"Launched only hours before their successful Musudan test, this missile exploded shortly after launch. North Korea has claimed that the missile did not explode and that the missile was purposely programmed with a short launch trajectory and flight time in mind and that this would look like a failure to foreign observers tracking the test on radar. It is possible this is the case, however, it is also possible they are lying to save face from having a 5th failure in a row of a missile which the Soviets successfully tested some 461 times.",http://english.yonhapnews.co.kr/northkorea/2016/06/22/0401000000AEN20160622000554315.html https://www.stratcom.mil/news/2016/622/USSTRATCOM_Detects_Tracks_North_Korean_Missile_Launches/
85,21-Jun-16,12,28-Nov-17,11:03:00 PM,Musudan,IRBM,,Wonsan Kalma International Airport,"Kangwon Province, (North Korea)",Wonsan Airbase,39.1677,127.4817,Sea of Japan or East Sea,38.820451,132.1875,1400 km,400 km,Confirmed,Success,"After a string of 5 failures, this marks the first successful test of the Musudan missile. The missile trajectory itself was lofted to prevent the test from overflying Japan. Photographs and videos of the test released by North Korea showed that missile was equiped with gridfins, a new addition not seen in previous appearances of the missile prompting speculation that the lack of them had caused issues with past tests.",http://38north.org/2016/06/jschilling062316/; https://www.iiss.org/en/iiss%20voices/blogsections/iiss-voices-2016-9143/june-2c71/north-koreas-musudan-missile-effort-advances-5885; https://www.nknews.org/pro/back-in-black/; https://www.stratcom.mil/news/2016/622/USSTRATCOM_Detects_Tracks_North_Korean_Missile_Launches/
86,9-Jul-16,13,28-Nov-17,2:28:00 AM,Polaris-1,SLBM,,Sinpo Shipyard,South Hamgyong province,,40.0368,128.1839,Sea of Japan or East Sea,39.025585,128.935547,10 km,Unknown,Confirmed,Failure,The missile ejected and lit successfully but appears to have exploded shortly after. Many believe the test was a reaction to the South Korean and US decision announced the previous day to install THAAD in South korea.,http://english.yonhapnews.co.kr/national/2016/07/09/86/0301000000AEN20160709002253315F.html; https://en.wikipedia.org/wiki/Pukkuksong-1
87,18-Jul-16,14,28-Nov-17,8:44:00 PM,Scud-C,SRBM,Hwasong Artillery Units of the KPA Strategic Forces,Hwangju,"Hwangju,  North Hwanghae province",Pyongyang Highway,38.686834,125.702005,Unknown,39.230126,130.869141,Unknown,Unknown,Confirmed,Success,"The type of Scud is unconfirmed, it could have been a Scud B",http://www.cnn.com/2016/07/18/asia/north-korea-missiles/; http://www.bbc.com/news/world-asia-36831308; https://www.stratcom.mil/news/2016/624/USSTRATCOM_Detects_Tracks_North_Korean_Missile_Launches/
88,18-Jul-16,15,28-Nov-17,8:58:00 PM,Scud-C,SRBM,Hwasong Artillery Units of the KPA Strategic Forces,Hwangju,"Hwangju,  North Hwanghae province",Pyongyang Highway,38.686834,125.702005,Unknown,39.093831,130.957031,Unknown,Unknown,Confirmed,Success,"The type of Scud is unconfirmed, it could have been a Scud B",http://www.cnn.com/2016/07/18/asia/north-korea-missiles/; http://www.bbc.com/news/world-asia-36831308; https://www.stratcom.mil/news/2016/624/USSTRATCOM_Detects_Tracks_North_Korean_Missile_Launches/
89,18-Jul-16,16,28-Nov-17,9:35:00 PM,Nodong,MRBM,Hwasong Artillery Units of the KPA Strategic Forces,Hwangju,"Hwangju,  North Hwanghae province",Pyongyang Highway,38.686834,125.702005,Sea of Japan or East Sea,40.778462,131.308594,Unknown,500 km,Confirmed,Success,,http://www.cnn.com/2016/07/18/asia/north-korea-missiles/; http://www.bbc.com/news/world-asia-36831308; https://www.stratcom.mil/news/2016/624/USSTRATCOM_Detects_Tracks_North_Korean_Missile_Launches/
90,2-Aug-16,17,28-Nov-17,10:53:00 PM,Nodong,MRBM,,Hwangju,"Hwangju,  North Hwanghae province",Pyongyang Highway,38.686834,125.702005,Sea of Japan or East Sea,35.672916,131.484375,Unknown,1000 km,Confirmed,Success,,http://www.cnn.com/2016/08/02/asia/north-korea-missile/; https://www.stratcom.mil/news/2016/629/USSTRATCOM_Detects_Tracks_North_Korean_Missile_Launches/
91,2-Aug-16,18,28-Nov-17,10:53:00 PM,Nodong,MRBM,,Hwangju,"Hwangju,  North Hwanghae province",Pyongyang Highway,38.686834,125.702005,Unknown,38.408406,137.197266,Unknown,Unknown,Confirmed,Failure,,http://www.cnn.com/2016/08/02/asia/north-korea-missile/; https://www.stratcom.mil/news/2016/629/USSTRATCOM_Detects_Tracks_North_Korean_Missile_Launches/
92,23-Aug-16,19,28-Nov-17,8:29:00 PM,Polaris-1,SLBM,,Sinpo Shipyard,South Hamgyong province,,40.0368,128.1839,Sea of Japan or East Sea,38.888895,133.066406,Unknown,500 km,Confirmed,Success,This test marks the first fully successful SLBM test by North Korea. The missile landed in Japan's Air Identification Zone. It is believed that the missile can travel much father and that its range was due to a lofted trajectory.,https://en.wikipedia.org/wiki/Pukkuksong-1; http://www.reuters.com/article/us-northkorea-missiles-idUSKCN10Y2B0
93,5-Sep-16,20,28-Nov-17,3:13:00 AM,ER Scud,MRBM,Hwasong Artillery Units of the KPA Strategic Forces,Hwangju,"Hwangju,  North Hwanghae province",Pyongyang Highway,38.686834,125.702005,Sea of Japan or East Sea,39.705074,137.373047,Unknown,1000 km,Confirmed,Success,"North Korea premiered a never before seen version of its scud with this simultaneous test of 3 missiles. The missiles are scud missiles but have almost double the traditional range of other versions of the system. Though this was their first public appearance, it is quite likely the system was tested in the past but were mistaken for Nodongs, which have a similar range and trajectory.",http://thediplomat.com/2016/09/north-korea-showed-off-a-previously-unseen-missile-during-the-g20/; http://www.nti.org/analysis/articles/first-glimpse-north-koreas-elusive-er-scud/; http://missiledefenseadvocacy.org/missile-threat-and-proliferation/todays-missile-threat/north-korea/scud-er/
94,5-Sep-16,21,28-Nov-17,3:13:00 AM,ER Scud,MRBM,Hwasong Artillery Units of the KPA Strategic Forces,Hwangju,"Hwangju,  North Hwanghae province",Pyongyang Highway,38.686834,125.702005,Sea of Japan or East Sea,38.751941,137.197266,Unknown,1000 km,Confirmed,Success,,http://thediplomat.com/2016/09/north-korea-showed-off-a-previously-unseen-missile-during-the-g20/; http://www.nti.org/analysis/articles/first-glimpse-north-koreas-elusive-er-scud/; http://missiledefenseadvocacy.org/missile-threat-and-proliferation/todays-missile-threat/north-korea/scud-er/
95,5-Sep-16,22,28-Nov-17,3:13:00 AM,ER Scud,MRBM,Hwasong Artillery Units of the KPA Strategic Forces,Hwangju,"Hwangju,  North Hwanghae province",Pyongyang Highway,38.686834,125.702005,Sea of Japan or East Sea,38.546017,136.142578,Unknown,1000 km,Confirmed,Success,,http://thediplomat.com/2016/09/north-korea-showed-off-a-previously-unseen-missile-during-the-g20/; http://www.nti.org/analysis/articles/first-glimpse-north-koreas-elusive-er-scud/; http://missiledefenseadvocacy.org/missile-threat-and-proliferation/todays-missile-threat/north-korea/scud-er/
96,14-Oct-16,23,28-Nov-17,6:33:00 PM,Musudan,IRBM,,Panghyon Airbase,"Kusong, North Pyongan",Panghyon Airport,39.927472,125.207889,Unknown,39.705074,137.285156,Unknown,Unknown,Confirmed,Failure,"The missile exploded shortly after launch. It was detected and tracked by United States Strategic Command (STRATCOM). Reportedly, South Korea did not detect the launch suggesting the missile exploded at a low altitude (before it could be picked up on South Korean radar). North Korea has also not released photographs of the test making it extremely difficult for 3rd party observers to confirm the location and the type of missile used in the launch. The test location was later located by finding the burn scars left by the test. The burn scars suggest that the October 15 test exploded on launch and destroyed the TEL transporting it (North Korea has since been much more careful with its remaining TELs). The type of missile tested at this test and the test 5 days later remains controversial. STRATCOM stated that it was a presumed Musudan. Later testimony by the DNI suggests that the US intelligence community has arrived at a similar consensus. It's possible though that the October tests were of any number of missile systems. The PK-2, tested successfully only a few kilomters away seems a plausible suspect. It could also have been an early test of the HS-12 , or perhaps some version of the KN-08. Considering the lack of hard evidence and the apparant consensus of the intelligence community, the October tests are entered as Musudans. However, they remain subject to revision should new information emerge.",http://www.reuters.com/article/us-korea-north-usa-idUSKBN12F0S2; http://www.wsj.com/articles/u-s-detects-failed-north-korean-missile-launch-1476572239; http://www.cnn.com/2016/10/15/asia/failed-north-korea-missile-launch/; https://www.stratcom.mil/news/2016/647/USSTRATCOM_Detects_Tracks_Attempted_North_Korean_Missile_Launch/; https://www.washingtonpost.com/world/asia_pacific/did-north-korea-just-test-missiles-capable-of-hitting-the-us-maybe/2016/10/26/984e8a21-e6a7-4689-81e0-21d7d25c302f_story.html
97,19-Oct-16,24,28-Nov-17,10:00:00 PM,Musudan,IRBM,,Panghyon Airbase,"Kusong, North Pyongan",Panghyon Airport,39.927472,125.207889,Unknown,38.957273,136.582031,Unknown,Unknown,Confirmed,Failure,"Similar to the previous test, this missile also exploded shortly after launch. The missile is presumed to have also been a musudan but it is impossible to rule out the chance that this and/or the test just prior to it were tests of the KN-08 an ICBM, the Polaris-2, or some other new missile North Korea is developing. Satellite images of the airbase show two large scortch martks on the runway seeming to indicate explosions. ",https://www.stratcom.mil/news/2016/648/USSTRATCOM_Detects_Attempted_North_Korean_Missile_Launch/; http://www.cnn.com/2016/10/19/asia/north-korea-missile-launch-fail/; http://www.reuters.com/article/us-northkorea-missiles-idUSKCN12K052; https://www.washingtonpost.com/world/asia_pacific/did-north-korea-just-test-missiles-capable-of-hitting-the-us-maybe/2016/10/26/984e8a21-e6a7-4689-81e0-21d7d25c302f_story.html
98,11-Feb-17,1,28-Nov-17,10:55:00 PM,Polaris-2,MRBM,,Kusong Testing Ground,"Kusong, North Pyongan",,40.01325,125.22302,Sea of Japan or East Sea,40.042335,132.1875,550 km,500 km,Confirmed,Success,This was the first known test of a land based version of the Polaris-1. The missile is solid fueled which means it is much easier to launch on short notice. This missile was tested only a few kilometers away from the failed October tests prompting speculation those tests were of this missile system.,http://www.stratcom.mil/Media/News/News-Article-View/Article/1080866/usstratcom-detects-tracks-north-korean-missile-launch/; http://www.economist.com/news/asia/21716992-kim-jong-un-tests-another-missile-north-koreas-dictator-challenges-donald-trump; http://www.cnn.com/2017/02/11/asia/north-korea-missile/; http://www.reuters.com/article/us-northkorea-missiles-nk-idUSKBN15R10O?il=0; http://38north.org/2017/02/jschilling021317/; https://twitter.com/DaveSchmerler/status/830964858032041984
99,5-Mar-17,2,28-Nov-17,10:34:00 PM,ER Scud,MRBM,Hwasong Artillery Units of the KPA Strategic Forces,Sohae Satellite Launching Station,"Cholsan County, North Pyongan Province",,39.6596,124.7057,Sea of Japan or East Sea,39.298174,130.429688,260 km,1000 km,Confirmed,Success,"North Korea launched these 4 missiles almost simultaneously. It is hypothesized that North Korea was practicing overwhelming THAAD and conducting a simulated attack on the US Marine Corps Airbase in Japan, Iwakuni. As a response to this test, the US deployed THAAD to South Korea ahead of schedule. The apogees and distance travelled for each missile are the averages according to reports, exact distances for each missile are unknown. There were early reports of a fifth missile launch accompanying these four, however, no evidence has surfaced of a launch actually taking place. North Korea may have originally planned to launch five but had to scrub the fifth test for unknown reasons.",http://www.cnn.com/2017/03/06/asia/north-korea-missiles-kim-jong-un/; http://www.reuters.com/article/us-northkorea-missiles-idUSKBN16C0YU; http://www.cnn.com/2017/03/05/asia/north-korea-projectile/; https://www.washingtonpost.com/world/north-korea-launches-another-missile-perhaps-one-that-can-reach-us/2017/03/05/943010ee-96e2-4ff4-83aa-2fe09cd65831_story.html?utm_term=.6f8b3ae2acd1; http://www.japantimes.co.jp/news/2017/03/06/national/tokyo-says-north-korea-fired-three-four-missiles-came-japans-eez/#.WL3nJjvyuUl; http://www.mod.go.jp/e/press/release/2017/03/06b.html; http://www.mod.go.jp/e/press/release/2017/03/06a.html; http://www.stratcom.mil/Media/News/News-Article-View/Article/1080866/usstratcom-detects-tracks-north-korean-missile-launch/; http://www.rodong.rep.kp/en/index.php?strPageID=SF01_02_01&newsID=2017-03-07-0001
100,5-Mar-17,3,28-Nov-17,10:34:00 PM,ER Scud,MRBM,Hwasong Artillery Units of the KPA Strategic Forces,Sohae Satellite Launching Station,"Cholsan County, North Pyongan Province",,39.6596,124.7057,Sea of Japan or East Sea,39.569705,130.957031,260 km,1000 km,Confirmed,Success,"North Korea launched these 4 missiles almost simultaneously. It is hypothesized that North Korea was practicing overwhelming THAAD and conducting a simulated attack on the US Marine Corps Airbase in Japan, Iwakuni. As a response to this test, the US deployed THAAD to South Korea ahead of schedule. The apogees and distance travelled for each missile are the averages according to reports, exact distances for each missile are unknown. There were early reports of a fifth missile launch accompanying these four, however, no evidence has surfaced of a launch actually taking place. North Korea may have originally planned to launch five but had to scrub the fifth test for unknown reasons.",http://www.cnn.com/2017/03/06/asia/north-korea-missiles-kim-jong-un/; http://www.reuters.com/article/us-northkorea-missiles-idUSKBN16C0YU; http://www.cnn.com/2017/03/05/asia/north-korea-projectile/; https://www.washingtonpost.com/world/north-korea-launches-another-missile-perhaps-one-that-can-reach-us/2017/03/05/943010ee-96e2-4ff4-83aa-2fe09cd65831_story.html?utm_term=.6f8b3ae2acd1; http://www.japantimes.co.jp/news/2017/03/06/national/tokyo-says-north-korea-fired-three-four-missiles-came-japans-eez/#.WL3nJjvyuUl; http://www.mod.go.jp/e/press/release/2017/03/06b.html; http://www.mod.go.jp/e/press/release/2017/03/06a.html; http://www.stratcom.mil/Media/News/News-Article-View/Article/1080866/usstratcom-detects-tracks-north-korean-missile-launch/; http://www.rodong.rep.kp/en/index.php?strPageID=SF01_02_01&newsID=2017-03-07-0001
101,5-Mar-17,4,28-Nov-17,10:34:00 PM,ER Scud,MRBM,Hwasong Artillery Units of the KPA Strategic Forces,Sohae Satellite Launching Station,"Cholsan County, North Pyongan Province",,39.6596,124.7057,Sea of Japan or East Sea,39.637422,131.572266,260 km,1000 km,Confirmed,Success,"North Korea launched these 4 missiles almost simultaneously. It is hypothesized that North Korea was practicing overwhelming THAAD and conducting a simulated attack on the US Marine Corps Airbase in Japan, Iwakuni. As a response to this test, the US deployed THAAD to South Korea ahead of schedule. The apogees and distance travelled for each missile are the averages according to reports, exact distances for each missile are unknown. There were early reports of a fifth missile launch accompanying these four, however, no evidence has surfaced of a launch actually taking place. North Korea may have originally planned to launch five but had to scrub the fifth test for unknown reasons.",http://www.cnn.com/2017/03/06/asia/north-korea-missiles-kim-jong-un/; http://www.reuters.com/article/us-northkorea-missiles-idUSKBN16C0YU; http://www.cnn.com/2017/03/05/asia/north-korea-projectile/; https://www.washingtonpost.com/world/north-korea-launches-another-missile-perhaps-one-that-can-reach-us/2017/03/05/943010ee-96e2-4ff4-83aa-2fe09cd65831_story.html?utm_term=.6f8b3ae2acd1; http://www.japantimes.co.jp/news/2017/03/06/national/tokyo-says-north-korea-fired-three-four-missiles-came-japans-eez/#.WL3nJjvyuUl; http://www.mod.go.jp/e/press/release/2017/03/06b.html; http://www.mod.go.jp/e/press/release/2017/03/06a.html; http://www.stratcom.mil/Media/News/News-Article-View/Article/1080866/usstratcom-detects-tracks-north-korean-missile-launch/; http://www.rodong.rep.kp/en/index.php?strPageID=SF01_02_01&newsID=2017-03-07-0001
102,5-Mar-17,5,28-Nov-17,10:34:00 PM,ER Scud,MRBM,Hwasong Artillery Units of the KPA Strategic Forces,Sohae Satellite Launching Station,"Cholsan County, North Pyongan Province",,39.6596,124.7057,Sea of Japan or East Sea,39.705074,131.923828,260 km,1000 km,Confirmed,Success,"North Korea launched these 4 missiles almost simultaneously. It is hypothesized that North Korea was practicing overwhelming THAAD and conducting a simulated attack on the US Marine Corps Airbase in Japan, Iwakuni. As a response to this test, the US deployed THAAD to South Korea ahead of schedule. The apogees and distance travelled for each missile are the averages according to reports, exact distances for each missile are unknown. There were early reports of a fifth missile launch accompanying these four, however, no evidence has surfaced of a launch actually taking place. North Korea may have originally planned to launch five but had to scrub the fifth test for unknown reasons.",http://www.cnn.com/2017/03/06/asia/north-korea-missiles-kim-jong-un/; http://www.reuters.com/article/us-northkorea-missiles-idUSKBN16C0YU; http://www.cnn.com/2017/03/05/asia/north-korea-projectile/; https://www.washingtonpost.com/world/north-korea-launches-another-missile-perhaps-one-that-can-reach-us/2017/03/05/943010ee-96e2-4ff4-83aa-2fe09cd65831_story.html?utm_term=.6f8b3ae2acd1; http://www.japantimes.co.jp/news/2017/03/06/national/tokyo-says-north-korea-fired-three-four-missiles-came-japans-eez/#.WL3nJjvyuUl; http://www.mod.go.jp/e/press/release/2017/03/06b.html; http://www.mod.go.jp/e/press/release/2017/03/06a.html; http://www.stratcom.mil/Media/News/News-Article-View/Article/1080866/usstratcom-detects-tracks-north-korean-missile-launch/; http://www.rodong.rep.kp/en/index.php?strPageID=SF01_02_01&newsID=2017-03-07-0001
103,21-Mar-17,6,28-Nov-17,10:00:00 PM,Unknown,Unknown,,Wonsan Kalma International Airport,"Kangwon Province, (North Korea)",Wonsan Airbase,39.1677,127.4817,N/A,39.1677,127.4817,0 km,,Confirmed,Failure,"Initial reports on this test were muddled with some reporting that the test was another salvo of 3 to 4 missiles. However, it appears only one missile was tested. Unfortunately the type of missile is still unknown. The missile itself appears to have exploded almost immediately after launch.",http://www.reuters.com/article/us-northkorea-missiles-idUSKBN16T07M; https://www.nytimes.com/2017/03/22/world/asia/north-korea-missile-launch-failure.html?_r=0; http://www.cnn.com/2017/03/21/asia/north-korea-missile-test/; https://www.washingtonpost.com/world/north-korean-missile-explodes-seconds-after-launch/2017/03/22/6e55d36e-0ebc-11e7-b2bb-417e331877d9_story.html?utm_term=.130e469303e9;
104,4-Apr-17,7,28-Nov-17,9:42:00 PM,Hwasong-12,IRBM,,Sinpo Shipyard,South Hamgyong province,,40.0368,128.1839,Sea of Japan or East Sea,40.109588,129.462891,189 km,60 km,Confirmed,Failure,"The given trajectory of 60 km out and 190 km apogee is very strange. The missile appears to have been in the air a total of 9 minutes. Initially suspected of being a KN-15, later reports leaked from the US government and reported on by Lucas Tomlinson stated that it was a smaller Scud variant which was named the KN-17. Following another leak reported on in June 2017  by Ankit Panda of The Diplomat, this was shown to be mistaken. The US intelligence community did believe it was a missile they called the KN-17, however, the KN-17 was actually the Hwasong-12 and was not a new scud varient as initially reported.",https://www.nytimes.com/2017/04/04/world/asia/north-korea-ballistic-missile-test-xi-trump.html; http://www.pacom.mil/Media/News/News-Article-View/Article/1140811/us-pacific-command-detects-tracks-north-korean-missile-launch/; https://www.washingtonpost.com/news/worldviews/wp/2017/04/05/will-north-korea-fire-a-missile-capable-of-hitting-the-u-s-mainland-probably/?utm_term=.ada4c467f0bb; http://www.cnn.com/2017/04/04/asia/north-korea-projectile/; http://www.reuters.com/article/us-northkorea-missiles-idUSKBN1762XX; https://www.wsj.com/articles/north-korea-launches-projectile-into-waters-off-korean-peninsula-east-coast-1491347302; http://www.reuters.com/article/us-northkorea-missiles-idUSKBN1762XX?utm_campaign=trueAnthem:+Trending+Content&utm_content=58e4ac3804d301577ffe8e13&utm_medium=trueAnthem&utm_source=twitter;
105,15-Apr-17,8,28-Nov-17,9:21:00 PM,Hwasong-12,IRBM,,Sinpo Shipyard,South Hamgyong province,,40.0368,128.1839,N/A,40.0368,128.1839,0 km,0 km,Confirmed,Failure,"The missile appears to have blown up almost instantly. Initially believed to have been a new Scud variant, later reports stated it was the Hwasong-12, an IRBM capable of hitting Guam. The test came the day after Kim Il Sung's 105th birthday. At the parade celebrating the day, North Korea displayed several new missiles. The test prompted speculation that North Korea had attempted to test one of those. Some news reports reported that US cyber attacks were responsible for the missile's failure. Other sources though were skeptical. A few days following the test, North Korea's foreign minister stated that North Korea would continue testing missiles.",https://www.nytimes.com/2017/04/04/world/asia/north-korea-ballistic-missile-test-xi-trump.html; http://www.pacom.mil/Media/News/News-Article-View/Article/1140811/us-pacific-command-detects-tracks-north-korean-missile-launch/; https://www.washingtonpost.com/news/worldviews/wp/2017/04/05/will-north-korea-fire-a-missile-capable-of-hitting-the-u-s-mainland-probably/?utm_term=.ada4c467f0bb; http://www.cnn.com/2017/04/04/asia/north-korea-projectile/; http://www.reuters.com/article/us-northkorea-missiles-idUSKBN1762XX; https://www.wsj.com/articles/north-korea-launches-projectile-into-waters-off-korean-peninsula-east-coast-1491347302; http://www.reuters.com/article/us-northkorea-missiles-idUSKBN1762XX?utm_campaign=trueAnthem:+Trending+Content&utm_content=58e4ac3804d301577ffe8e13&utm_medium=trueAnthem&utm_source=twitter; http://www.foxnews.com/world/2017/04/05/north-korean-missile-launch-likely-failure-us-officials-say.html; https://www.nytimes.com/2017/04/07/world/asia/north-korea-missile-test-trump.html; http://thediplomat.com/2017/06/exclusive-north-korea-tested-its-new-intermediate-range-ballistic-missile-3-times-in-april-2017/;
106,28-Apr-17,9,28-Nov-17,8:33:00 PM,Hwasong-12,IRBM,,Pukchang Airfield,South Pyongan Province,,39.504417,125.964333,N/A,39.637422,128.583984,71 km,,Confirmed,Failure,"Initial reports were confusing and suggested multiple launches. Eventually it was determined that only a single launch took place. Reports indicate the missile suffered a catastrophic failure shortly after launch and was destroyed. The launch here is recorded to have occurred at the Pukchang Airfield however reports from PACOM state that the test occurred ""near"" the airfield. Given that the test failed, North Korea is unlikely to release pictures of the event making it difficult to determine the exact location and the type of missile tested. Later reports stated that the missile tested was the Hwasong-12.",http://www.cnn.com/2017/04/15/asia/north-korea-missile-test/; https://www.nytimes.com/2017/04/15/world/asia/north-korea-missiles-pyongyang-kim-jong-un.html; https://www.washingtonpost.com/world/asia_pacific/n-korea-didnt-test-a-nuclear-weapon-but-its-display-of-military-hardware-wasnt-exactly-good-news/2017/04/15/49944da8-221c-11e7-bcd6-6d1286bc177d_story.html?utm_term=.f4c47809bb28; http://english.yonhapnews.co.kr/news/2017/04/16/0200000000AEN20170416000200315.html; http://thediplomat.com/2017/06/exclusive-north-korea-tested-its-new-intermediate-range-ballistic-missile-3-times-in-april-2017/;
107,14-May-17,10,28-Nov-17,8:28:00 PM,Hwasong-12,IRBM,,North Kusong Testing Ground,"Kusong, North Pyongan",,40.0659,125.2099,Sea of Japan or East Sea,38.339502,156.181641,2111.5 km,787 km,Confirmed,Success,"This test was significant for a number of reasons. With this test, North Korea premeired a new, single-stage, IRBM. Estimates of the missile's range places Guam, a US territory which houses a vital US military base, within range of the missile. The missile's engine appears to be the same engine which North Korea tested in March 2016 and again on March 19, 2017. The single stage makes the missile somewhat inefficient and prompted speculation that the missile is intended to be the first stage of a multi-stage ICBM.",https://www.washingtonpost.com/world/north-korea-fires-another-ballistic-missile-the-75th-of-kim-jong-uns-tenure/2017/04/28/c4b7aa8a-2c5c-11e7-9081-f5405f56d3e4_story.html?utm_term=.eea0faa61c57; http://www.japantimes.co.jp/news/2017/04/29/asia-pacific/north-korea-fails-latest-test-ballistic-missile/#.WQiqMYjyuUk; http://english.yonhapnews.co.kr/news/2017/04/29/0200000000AEN20170429000800315.html;https://www.wsj.com/articles/north-korean-missile-launch-appears-to-fail-1493417890; http://thediplomat.com/2017/06/exclusive-north-korea-tested-its-new-intermediate-range-ballistic-missile-3-times-in-april-2017/;
108,21-May-17,11,28-Nov-17,7:59:00 AM,Polaris-2,MRBM,,Lake Yonpung,South Pyongan Province,,39.618283,125.8035851,Sea of Japan or East Sea,39.298174,134.648438,560 km,500 km,Confirmed,Success,"This test was the second North Korea conducted in a week. Following the test, Kim Jong Un stated he believed the weapon was ready for deployment and ordered the mass production of the missile. The KN-15 is a solid fuel missile which means it can be launched on shorter notice. In the event of war, finding and destroying all the KN-15 missiles before they could be launched would be tough.",http://thediplomat.com/2017/05/north-koreas-new-intermediate-range-ballistic-missile-the-hwasong-12-first-takeaways/?utm_content=buffer3dda6&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer; https://www.nknews.org/2017/05/n-korea-claims-successful-intermediate-range-ballistic-missile-test-launch/; http://www.bbc.com/news/world-asia-39918652; http://www.japantimes.co.jp/news/2017/05/14/asia-pacific/north-korea-carries-new-ballistic-missile-test/#.WRncNojyuUl; https://www.washingtonpost.com/world/north-korea-launches-a-missile-that-flies-450-miles/2017/05/13/e1647da8-382c-11e7-99b0-dd6e94e786e5_story.html?utm_campaign=buffer&utm_content=bufferdc0f7&utm_medium=social&utm_source=twitter.com&utm_term=.617f3d0df259; http://www.bbc.com/news/world-asia-39911530; https://www.wsj.com/articles/north-korea-is-accelerating-plan-to-land-missiles-in-u-s-1494792608; https://www.wsj.com/articles/north-korea-launches-possible-ballistic-missile-south-korean-news-agency-reports-1494713029; https://twitter.com/CT_operative/status/864121984573206528; http://thediplomat.com/2017/06/exclusive-north-korea-tested-its-new-intermediate-range-ballistic-missile-3-times-in-april-2017/;
109,28-May-17,12,28-Nov-17,8:40:00 PM,Scud-C MaRV,SRBM,,Wonsan Kalma International Airport,"Kangwon Province, (North Korea)",Wonsan Airbase,39.1677,127.4817,Sea of Japan or East Sea,39.298174,130.078125,120 km,400 km,Confirmed,Success,"There continues to be some confusion about this missile's designation. Due to some confusing reports, it was initially referred to as the KN-17. Information has since surfaced that the KN-17 is actually the designation for the Hwasong-12. This missile's name is still slightly unclear. North Korea refers to this as the ""ultra precision"" missile. The missile itself appears to be a Scud-C with a Manueverable Re-entry Vehicle, hence the designation ""Scud-C MaRV"".  This test marked another first for North Korea in 2017. It was the first successful test of the Scud-C MaRV, a missile with a maneuverable terminal stage.  A maneuverable terminal stage is significant because such a system could potentially frustrate missile defense systems like THAAD. This missile was first sighted at the April 15, 2017 parade. This missile was initially believed to have been tested 3 times in April and failed repeatedly. Information has since surfaced that these were actually tests of the Hwasong-12. While this test is reported to have occurred at Wonson Kalma International Airport, the test actually took place right outside the airport, about 100 meters on the northern side. The missile itself landed in between South Korea and Japan in a piece of disputed water sparking a small diplomatic skirmish between the two over whose water it landed in.",https://twitter.com/DaveSchmerler/status/869346581941600256; https://twitter.com/JosephHDempsey/status/868962193039122432; https://www.washingtonpost.com/world/asia_pacific/north-koreas-latest-ballistic-missile-launch-lands-in-the-sea-of-japan/2017/05/28/cb072e0e-43f6-11e7-a196-a1bb629f64cb_story.html?utm_term=.072059ffa7f4; https://www.wsj.com/articles/s-korea-military-says-north-korea-fires-unidentified-projectile-1496008566; http://www.japantimes.co.jp/news/2017/05/29/asia-pacific/north-korea-fires-off-missile-lands-japans-exclusive-economic-zone/#.WS2oo2jyuUk; http://www.japantimes.co.jp/news/2017/05/30/asia-pacific/north-korea-hails-test-precision-guided-missile-success-vows-bigger-gift-package-u-s/#.WS2oqGjyuUk; http://thediplomat.com/2017/06/exclusive-north-korea-tested-its-new-intermediate-range-ballistic-missile-3-times-in-april-2017/;
